Precinct,Office,District,Party,BIDEN/HARRIS,TRUMP/PENCE,JORGENSEN/COHEN,WI,SC,
Tunkhannock Twp #1,Congress,12,,493,1042,0,2,,
Tunkhannock Twp #2,Congress,12,,218,493,0,0,,
Washington Township,Congress,12,,174,566,0,2,,
Windham Township,Congress,12,,73,338,0,0,,
Precinct,Office,District,Party,KAREN BOBACK,WI,SC,,,
Braintrim Township,PA Rep,117,,213,0,7,,,
Clinton Township,PA Rep,117,,665,0,30,,,
Eaton Township,PA Rep,117,,820,0,16,,,
Exeter Township,PA Rep,117,,355,0,13,,,
Factoryville Boro Wards 1,PA Rep,117,,210,0,18,,,
Factoryville Boro Wards 2,PA Rep,117,,176,0,6,,,
Falls Township,PA Rep,117,,929,0,27,,,
Forkston Township,PA Rep,117,,170,0,7,,,
Laceyville Borough,PA Rep,117,,155,0,5,,,
Lemon Township,PA Rep,117,,611,0,21,,,
Mehoopany Township,PA Rep,117,,413,0,11,,,
Meshoppen Borough,PA Rep,117,,126,0,2,,,
Meshoppen Township,PA Rep,117,,431,0,5,,,
Monroe Township,PA Rep,117,,854,0,13,,,
Nicholson Boro,PA Rep,117,,324,0,8,,,
Nicholson Township,PA Rep,117,,633,0,20,,,
North Branch Township,PA Rep,117,,138,0,4,,,
Northmoreland Township,PA Rep,117,,781,0,29,,,
Noxen Township,PA Rep,117,,430,0,7,,,
Overfield Township,PA Rep,117,,794,0,26,,,
Tunkhannock Boro Wards 1,PA Rep,117,,148,0,2,,,
Tunkhannock Boro Wards 2,PA Rep,117,,278,0,13,,,
Tunkhannock Boro Wards 3,PA Rep,117,,180,0,3,,,
Tunkhannock Boro Wards 4,PA Rep,117,,213,0,7,,,
Tunkhannock Twp #1,PA Rep,117,,1355,0,40,,,
Tunkhannock Twp #2,PA Rep,117,,622,0,18,,,
Washington Township,PA Rep,117,,701,0,10,,,
Windham Township,PA Rep,117,,387,0,7,,,
